ProductID,ProductName,Category,Price,StockLevel,SupplierID
PID001,Product_1,Toys,77,462,SUP16
PID002,Product_2,Books,184,314,SUP16
PID003,Product_3,Food,250,373,SUP17
PID004,Product_4,Books,889,159,SUP02
PID005,Product_5,Books,829,95,SUP01
PID006,Product_6,Clothing,979,471,SUP16
PID007,Product_7,Food,82,232,SUP12
PID008,Product_8,Food,97,179,SUP05
PID009,Product_9,Food,552,112,SUP05
PID010,Product_10,Books,456,317,SUP09
PID011,Product_11,Toys,623,496,SUP09
PID012,Product_12,Food,777,441,SUP03
PID013,Product_13,Books,854,51,SUP19
PID014,Product_14,Clothing,148,267,SUP16
PID015,Product_15,Toys,733,294,SUP16
PID016,Product_16,Clothing,921,385,SUP03
PID017,Product_17,Toys,775,386,SUP01
PID018,Product_18,Books,596,112,SUP11
PID019,Product_19,Electronics,788,100,SUP17
PID020,Product_20,Toys,662,112,SUP08
PID021,Product_21,Clothing,992,439,SUP04
PID022,Product_22,Books,511,80,SUP06
PID023,Product_23,Toys,692,186,SUP08
PID024,Product_24,Electronics,818,112,SUP03
PID025,Product_25,Electronics,54,1,SUP16
PID026,Product_26,Food,267,129,SUP03
PID027,Product_27,Food,552,219,SUP18
PID028,Product_28,Clothing,816,53,SUP14
PID029,Product_29,Toys,447,342,SUP18
PID030,Product_30,Toys,920,484,SUP02
PID031,Product_31,Food,844,223,SUP03
PID032,Product_32,Toys,442,224,SUP16
PID033,Product_33,Toys,256,384,SUP09
PID034,Product_34,Electronics,64,402,SUP04
PID035,Product_35,Food,907,125,SUP01
PID036,Product_36,Books,603,129,SUP04
PID037,Product_37,Food,941,52,SUP01
PID038,Product_38,Books,510,171,SUP14
PID039,Product_39,Electronics,740,217,SUP16
PID040,Product_40,Clothing,624,159,SUP08
PID041,Product_41,Toys,913,197,SUP07
PID042,Product_42,Electronics,792,415,SUP03
PID043,Product_43,Toys,290,246,SUP17
PID044,Product_44,Clothing,613,323,SUP01
PID045,Product_45,Clothing,145,438,SUP16
PID046,Product_46,Electronics,949,202,SUP12
PID047,Product_47,Clothing,783,183,SUP19
PID048,Product_48,Books,534,122,SUP14
PID049,Product_49,Clothing,456,400,SUP06
PID050,Product_50,Toys,280,254,SUP06
PID051,Product_51,Toys,798,293,SUP13
PID052,Product_52,Toys,704,279,SUP19
PID053,Product_53,Toys,220,324,SUP08
PID054,Product_54,Books,590,371,SUP02
PID055,Product_55,Food,85,97,SUP01
PID056,Product_56,Electronics,574,197,SUP15
PID057,Product_57,Toys,209,469,SUP01
PID058,Product_58,Clothing,888,394,SUP05
PID059,Product_59,Toys,748,239,SUP16
PID060,Product_60,Clothing,292,143,SUP19
PID061,Product_61,Clothing,135,96,SUP04
PID062,Product_62,Toys,845,200,SUP03
PID063,Product_63,Books,627,123,SUP17
PID064,Product_64,Clothing,731,186,SUP17
PID065,Product_65,Clothing,606,325,SUP12
PID066,Product_66,Toys,623,463,SUP14
PID067,Product_67,Clothing,695,348,SUP06
PID068,Product_68,Clothing,845,258,SUP03
PID069,Product_69,Toys,77,147,SUP09
PID070,Product_70,Toys,669,251,SUP05
PID071,Product_71,Electronics,605,442,SUP17
PID072,Product_72,Books,389,419,SUP14
PID073,Product_73,Books,847,402,SUP03
PID074,Product_74,Clothing,380,345,SUP01
PID075,Product_75,Books,689,450,SUP01
PID076,Product_76,Clothing,555,146,SUP03
PID077,Product_77,Electronics,397,147,SUP18
PID078,Product_78,Toys,522,351,SUP10
PID079,Product_79,Toys,280,198,SUP03
PID080,Product_80,Toys,239,307,SUP08
PID081,Product_81,Books,274,488,SUP14
PID082,Product_82,Electronics,434,416,SUP18
PID083,Product_83,Books,426,423,SUP15
PID084,Product_84,Books,332,127,SUP02
PID085,Product_85,Electronics,682,38,SUP10
PID086,Product_86,Electronics,677,337,SUP02
PID087,Product_87,Electronics,794,359,SUP17
PID088,Product_88,Electronics,308,128,SUP08
PID089,Product_89,Toys,408,266,SUP01
PID090,Product_90,Food,759,475,SUP09
PID091,Product_91,Food,505,440,SUP11
PID092,Product_92,Electronics,460,472,SUP16
PID093,Product_93,Food,698,433,SUP07
PID094,Product_94,Food,367,150,SUP10
PID095,Product_95,Electronics,726,414,SUP03
PID096,Product_96,Food,274,477,SUP18
PID097,Product_97,Books,868,297,SUP13
PID098,Product_98,Clothing,283,98,SUP07
PID099,Product_99,Clothing,733,262,SUP04
PID100,Product_100,Electronics,713,251,SUP13
